,STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,METHODOLOGY,Methodology,MEASURE,Measure,UNIT_MEASURE,Unit of measure,EXPENDITURE,Expenditure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DURABILITY,Durability,DECIMALS,Decimals
25,DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,NOR,Norway,M,Monthly,N,National,CPI,Consumer price index,PC,Percentage change,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,G1,"Growth rate, period on period",2015-07,,0.0,,A,Normal value,,,,,,,2,Two
26,DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,NOR,Norway,M,Monthly,N,National,CPI,Consumer price index,PC,Percentage change,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,G1,"Growth rate, period on period",2017-12,,0.0,,A,Normal value,,,,,,,2,Two
27,DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,NOR,Norway,M,Monthly,N,National,CPI,Consumer price index,PC,Percentage change,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,G1,"Growth rate, period on period",2018-12,,0.0,,A,Normal value,,,,,,,2,Two
28,DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,NOR,Norway,M,Monthly,N,National,CPI,Consumer price index,PC,Percentage change,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,G1,"Growth rate, period on period",2020-01,,0.0,,A,Normal value,,,,,,,2,Two
29,DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,NOR,Norway,M,Monthly,N,National,CPI,Consumer price index,PC,Percentage change,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,G1,"Growth rate, period on period",2020-03,,0.0,,A,Normal value,,,,,,,2,Two
30,DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,NOR,Norway,M,Monthly,N,National,CPI,Consumer price index,PC,Percentage change,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,G1,"Growth rate, period on period",2021-08,,0.0,,A,Normal value,,,,,,,2,Two
31,DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,NLD,Netherlands,M,Monthly,N,National,CPI,Consumer price index,PC,Percentage change,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,G1,"Growth rate, period on period",2022-06,,0.0,,A,Normal value,,,,,,,2,Two
32,DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,POL,Poland,M,Monthly,N,National,CPI,Consumer price index,PC,Percentage change,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,G1,"Growth rate, period on period",2003-05,,0.0,,A,Normal value,,,,,,,2,Two
33,DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,POL,Poland,M,Monthly,N,National,CPI,Consumer price index,PC,Percentage change,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,G1,"Growth rate, period on period",2006-02,,0.0,,A,Normal value,,,,,,,2,Two
34,DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,POL,Poland,M,Monthly,N,National,CPI,Consumer price index,PC,Percentage change,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,G1,"Growth rate, period on period",2006-07,,0.0,,A,Normal value,,,,,,,2,Two
